Company Name,Company LinkedIn Link,Company Website,Phone Number,Company Size
Symbiosys Entertainment,https://www.linkedin.com/company/symbiosys-entertainment/,http://www.symbiosysentertainment.com,,"1,001-5,000 employees"
Engineer Master Solutions Pvt. Ltd.,https://www.linkedin.com/company/engineer-master/,http://www.engineermaster.in/,,51-200 employees
DooGraphics,https://www.linkedin.com/company/doographic/,https://doographics.com/,,11-50 employees
LMB Productions,https://www.linkedin.com/company/lmb-productions/,http://www.lmbproductions.in,,2-10 employees
Innowyn,https://www.linkedin.com/company/innowyn/,http://www.innowyn.com,+91 997-833-7571,11-50 employees
ChuChu TV,https://www.linkedin.com/company/chuchu-tv-studios/,http://www.chuchutv.com,,51-200 employees
,https://www.linkedin.com/company/image-college-of-arts-animation-and-technology/,http://www.icat.ac.in,,11-50 employees
VFX PICK,https://www.linkedin.com/company/vfxpick/,https://www.vfxpick.com/,+91 44 42849291,51-200 employees
Charuvi Design Labs Pvt. Ltd (CDL),https://www.linkedin.com/company/cdl_2/,http://www.cdl.tv,,11-50 employees
PAD Integrated Communications,https://www.linkedin.com/company/padintegrated/,http://www.pad.agency,+91 7569016362,51-200 employees
3DLabz Animation Limited,https://www.linkedin.com/company/3d-labz-animation-india/,https://www.3dlabz.com,,51-200 employees
Image Infotainment Limited,https://www.linkedin.com/company/image-infotainment/,http://www.imageil.com,,201-500 employees
Animation Circle Studio,https://www.linkedin.com/company/animation-circle-studio/,https://www.facebook.com/AnimateYourThought/,7890732058,11-50 employees
Tripixel Animation Studios,https://www.linkedin.com/company/tripixel-animation-studios/,https://tripixelanimation.com/,7769056555,11-50 employees
Agumentik Software Private Limited | Fastest Growing IT-Company | Best Development Company ,https://www.linkedin.com/company/agumentiksoftware/,https://www.agumentik.com,+91-63026 51044,51-200 employees
KREO Design &amp; Innovation,https://www.linkedin.com/company/kreodesign/,https://www.kreo.in/,,11-50 employees
KONCEPT PANDA ANIMATION STUDIO LLP,https://www.linkedin.com/company/koncept-panda-animation-studio-llp/,http://www.konceptpanda.com,,
Vspagy,https://www.linkedin.com/company/vspagy/,http://www.vspagy.com,9910169015,11-50 employees
19th Hole Studios ,https://www.linkedin.com/company/19thholestudios/,http://19thholestudios.com/,,11-50 employees
Pocket Aces,https://www.linkedin.com/company/pocket-aces-pictures-pvt-ltd-/,http://www.pocketaces.in,,51-200 employees
ANTS Digital Pvt. Ltd.,https://www.linkedin.com/company/ants-digital-pvt-ltd/,http://www.antsdigital.in,9654953233,11-50 employees
Red Bangle ,https://www.linkedin.com/company/redbangle/,http://www.redbangle.com,,11-50 employees
Admaren Tech Private Limited,https://www.linkedin.com/company/admaren/,http://www.admaren.com,9633384111,11-50 employees
Zeus Learning,https://www.linkedin.com/company/zeus-learning/,http://www.zeuslearning.com,,201-500 employees
Enso Immersive,https://www.linkedin.com/company/enso-immersive/,https://ensoimmersive.com,9351739913,11-50 employees
Prismart Productions,https://www.linkedin.com/company/prismart-productions/,https://www.prismartglobal.com/,8527996328,51-200 employees
Eden Animation,https://www.linkedin.com/company/eden-animation/,http://www.edenanimation.com,,51-200 employees
Wackytoon Studio Pvt Ltd,https://www.linkedin.com/company/wackytoonstudio/,http://www.wackytoon.in,+913366343535,51-200 employees
Unicorn Infosolution,https://www.linkedin.com/company/unicorn-infosolution/,http://www.uipl.co.in,,51-200 employees
Elroi Animation,https://www.linkedin.com/company/elroi-animation/,https://elroianimation.com/,9390292323,2-10 employees
Toolbox Studio,https://www.linkedin.com/company/1099051/,https://www.toolbox-studio.com,+91-77700-10455,11-50 employees
Creatfx studio,https://www.linkedin.com/company/creatfx-studio/,http://www.creatfx.com,,11-50 employees
Synclarity,https://www.linkedin.com/company/synclarity/,http://synclarity.in,,11-50 employees
"ISKCON, Bangalore",https://www.linkedin.com/company/iskcon-bangalore/,https://www.iskconbangalore.org,,"501-1,000 employees"
Swio - One Stop Solution,https://www.linkedin.com/company/swiocorporate/,https://swio.in,9666663616,11-50 employees
,https://www.linkedin.com/company/global-school-of-animation-&amp;-games/,,,
Digitech Magic,https://www.linkedin.com/company/digitech-magic/,http://www.digitechmagic.com,9370182661,11-50 employees
MAAC,https://www.linkedin.com/company/maac/,http://www.maacindia.com,,201-500 employees
Story Digital ,https://www.linkedin.com/company/story-digital-india/,http://www.storydigital.in,,11-50 employees
vfxexpress ,https://www.linkedin.com/company/vfxexpressonlinemedia/,http://www.vfxexpress.com,,2-10 employees
